,input_a,input_b,operand,operand_str
0,3,0,1,sum
1,7,5,1,sum
2,7,1,1,sum
3,4,0,0,sub
4,1,4,1,sum
5,2,1,1,sum
6,3,6,1,sum
7,9,5,0,sub
8,5,2,0,sub
9,8,6,0,sub
10,4,8,1,sum
11,7,8,1,sum
12,9,7,1,sum
13,3,4,1,sum
14,7,3,1,sum
15,5,0,1,sum
16,7,5,1,sum
17,3,5,0,sub
18,9,5,0,sub
19,3,4,0,sub
20,2,1,1,sum
21,3,7,1,sum
22,4,9,0,sub
23,6,0,0,sub
24,5,0,1,sum
25,1,3,0,sub
26,5,0,1,sum
27,1,1,0,sub
28,1,6,0,sub
29,5,7,1,sum
30,0,6,1,sum
31,3,9,0,sub
32,6,8,0,sub
33,9,5,0,sub
34,1,8,0,sub
35,9,6,0,sub
36,5,0,0,sub
37,4,0,1,sum
38,1,2,1,sum
39,8,4,0,sub
40,3,3,0,sub
41,2,0,0,sub
42,3,5,0,sub
43,5,6,1,sum
44,5,4,0,sub
45,1,3,1,sum
46,8,0,0,sub
47,9,7,0,sub
48,3,9,1,sum
49,9,4,0,sub
50,1,3,1,sum
51,9,2,0,sub
52,9,2,0,sub
53,5,0,1,sum
54,6,6,0,sub
55,8,5,1,sum
56,6,1,1,sum
57,7,4,0,sub
58,1,4,1,sum
59,9,4,1,sum
60,6,6,0,sub
61,7,3,0,sub
62,9,4,1,sum
63,1,4,0,sub
64,6,5,0,sub
65,5,7,1,sum
66,4,4,0,sub
67,5,3,0,sub
68,4,1,1,sum
69,7,9,0,sub
70,7,8,0,sub
71,5,8,1,sum
72,2,7,1,sum
73,9,3,1,sum
74,8,9,1,sum
75,0,5,1,sum
76,0,7,0,sub
77,0,1,1,sum
78,2,1,0,sub
79,5,6,1,sum
80,3,6,1,sum
81,3,1,1,sum
82,7,3,0,sub
83,6,2,0,sub
84,0,5,1,sum
85,8,4,0,sub
86,7,3,0,sub
87,4,1,1,sum
88,9,1,1,sum
89,6,4,0,sub
90,7,2,1,sum
91,5,5,1,sum
92,8,0,1,sum
93,6,3,0,sub
94,4,1,0,sub
95,8,7,0,sub
96,1,9,1,sum
97,3,1,0,sub
98,1,4,1,sum
99,9,7,0,sub
