,input_a,input_b,operand,operand_str
0,3,0,1,sub
1,7,5,1,sub
2,7,1,1,sub
3,4,0,0,sum
4,1,4,1,sub
5,2,1,1,sub
6,3,6,1,sub
7,9,5,0,sum
8,5,2,0,sum
9,8,6,0,sum
10,4,8,1,sub
11,7,8,1,sub
12,9,7,1,sub
13,3,4,1,sub
14,7,3,1,sub
15,5,0,1,sub
16,7,5,1,sub
17,3,5,0,sum
18,9,5,0,sum
19,3,4,0,sum
20,2,1,1,sub
21,3,7,1,sub
22,4,9,0,sum
23,6,0,0,sum
24,5,0,1,sub
25,1,3,0,sum
26,5,0,1,sub
27,1,1,0,sum
28,1,6,0,sum
29,5,7,1,sub
30,0,6,1,sub
31,3,9,0,sum
32,6,8,0,sum
33,9,5,0,sum
34,1,8,0,sum
35,9,6,0,sum
36,5,0,0,sum
37,4,0,1,sub
38,1,2,1,sub
39,8,4,0,sum
40,3,3,0,sum
41,2,0,0,sum
42,3,5,0,sum
43,5,6,1,sub
44,5,4,0,sum
45,1,3,1,sub
46,8,0,0,sum
47,9,7,0,sum
48,3,9,1,sub
49,9,4,0,sum
50,1,3,1,sub
51,9,2,0,sum
52,9,2,0,sum
53,5,0,1,sub
54,6,6,0,sum
55,8,5,1,sub
56,6,1,1,sub
57,7,4,0,sum
58,1,4,1,sub
59,9,4,1,sub
60,6,6,0,sum
61,7,3,0,sum
62,9,4,1,sub
63,1,4,0,sum
64,6,5,0,sum
65,5,7,1,sub
66,4,4,0,sum
67,5,3,0,sum
68,4,1,1,sub
69,7,9,0,sum
70,7,8,0,sum
71,5,8,1,sub
72,2,7,1,sub
73,9,3,1,sub
74,8,9,1,sub
75,0,5,1,sub
76,0,7,0,sum
77,0,1,1,sub
78,2,1,0,sum
79,5,6,1,sub
80,3,6,1,sub
81,3,1,1,sub
82,7,3,0,sum
83,6,2,0,sum
84,0,5,1,sub
85,8,4,0,sum
86,7,3,0,sum
87,4,1,1,sub
88,9,1,1,sub
89,6,4,0,sum
90,7,2,1,sub
91,5,5,1,sub
92,8,0,1,sub
93,6,3,0,sum
94,4,1,0,sum
95,8,7,0,sum
96,1,9,1,sub
97,3,1,0,sum
98,1,4,1,sub
99,9,7,0,sum
