,"(a,b)",input_a,input_b,operand,const
0,"(9,2)",9,2,sub,6
1,"(9,2)",9,2,sum,6
2,"(8,1)",8,1,sub,6
3,"(8,1)",8,1,sum,6
4,"(4,8)",4,8,sub,6
5,"(4,8)",4,8,sum,6
6,"(7,2)",7,2,sub,6
7,"(7,2)",7,2,sum,6
8,"(0,6)",0,6,sub,6
9,"(0,6)",0,6,sum,6
10,"(2,5)",2,5,sub,6
11,"(2,5)",2,5,sum,6
12,"(5,0)",5,0,sub,6
13,"(5,0)",5,0,sum,6
14,"(4,9)",4,9,sub,6
15,"(4,9)",4,9,sum,6
16,"(2,1)",2,1,sub,6
17,"(2,1)",2,1,sum,6
18,"(7,6)",7,6,sub,6
19,"(7,6)",7,6,sum,6
20,"(4,3)",4,3,sub,6
21,"(4,3)",4,3,sum,6
22,"(9,8)",9,8,sub,6
23,"(9,8)",9,8,sum,6
24,"(5,0)",5,0,sub,6
25,"(5,0)",5,0,sum,6
26,"(8,5)",8,5,sub,6
27,"(8,5)",8,5,sum,6
28,"(6,2)",6,2,sub,6
29,"(6,2)",6,2,sum,6
30,"(1,2)",1,2,sub,6
31,"(1,2)",1,2,sum,6
32,"(2,7)",2,7,sub,6
33,"(2,7)",2,7,sum,6
34,"(3,4)",3,4,sub,6
35,"(3,4)",3,4,sum,6
36,"(6,2)",6,2,sub,6
37,"(6,2)",6,2,sum,6
38,"(5,6)",5,6,sub,6
39,"(5,6)",5,6,sum,6
40,"(3,4)",3,4,sub,6
41,"(3,4)",3,4,sum,6
42,"(3,8)",3,8,sub,6
43,"(3,8)",3,8,sum,6
44,"(0,1)",0,1,sub,6
45,"(0,1)",0,1,sum,6
46,"(1,7)",1,7,sub,6
47,"(1,7)",1,7,sum,6
48,"(5,0)",5,0,sub,6
49,"(5,0)",5,0,sum,6
50,"(6,0)",6,0,sub,6
51,"(6,0)",6,0,sum,6
52,"(7,6)",7,6,sub,6
53,"(7,6)",7,6,sum,6
54,"(7,0)",7,0,sub,6
55,"(7,0)",7,0,sum,6
56,"(4,4)",4,4,sub,6
57,"(4,4)",4,4,sum,6
58,"(2,5)",2,5,sub,6
59,"(2,5)",2,5,sum,6
60,"(4,5)",4,5,sub,6
61,"(4,5)",4,5,sum,6
62,"(2,7)",2,7,sub,6
63,"(2,7)",2,7,sum,6
64,"(6,3)",6,3,sub,6
65,"(6,3)",6,3,sum,6
66,"(7,9)",7,9,sub,6
67,"(7,9)",7,9,sum,6
68,"(6,2)",6,2,sub,6
69,"(6,2)",6,2,sum,6
70,"(1,2)",1,2,sub,6
71,"(1,2)",1,2,sum,6
72,"(6,9)",6,9,sub,6
73,"(6,9)",6,9,sum,6
74,"(2,4)",2,4,sub,6
75,"(2,4)",2,4,sum,6
76,"(7,8)",7,8,sub,6
77,"(7,8)",7,8,sum,6
78,"(1,6)",1,6,sub,6
79,"(1,6)",1,6,sum,6
80,"(1,6)",1,6,sub,6
81,"(1,6)",1,6,sum,6
82,"(1,9)",1,9,sub,6
83,"(1,9)",1,9,sum,6
84,"(0,7)",0,7,sub,6
85,"(0,7)",0,7,sum,6
86,"(4,7)",4,7,sub,6
87,"(4,7)",4,7,sum,6
88,"(3,5)",3,5,sub,6
89,"(3,5)",3,5,sum,6
90,"(1,7)",1,7,sub,6
91,"(1,7)",1,7,sum,6
92,"(5,8)",5,8,sub,6
93,"(5,8)",5,8,sum,6
94,"(5,1)",5,1,sub,6
95,"(5,1)",5,1,sum,6
96,"(8,8)",8,8,sub,6
97,"(8,8)",8,8,sum,6
98,"(6,6)",6,6,sub,6
99,"(6,6)",6,6,sum,6
100,"(5,2)",5,2,sub,6
101,"(5,2)",5,2,sum,6
102,"(3,5)",3,5,sub,6
103,"(3,5)",3,5,sum,6
104,"(9,9)",9,9,sub,6
105,"(9,9)",9,9,sum,6
106,"(2,4)",2,4,sub,6
107,"(2,4)",2,4,sum,6
108,"(9,7)",9,7,sub,6
109,"(9,7)",9,7,sum,6
110,"(0,2)",0,2,sub,6
111,"(0,2)",0,2,sum,6
112,"(0,2)",0,2,sub,6
113,"(0,2)",0,2,sum,6
114,"(0,1)",0,1,sub,6
115,"(0,1)",0,1,sum,6
116,"(6,1)",6,1,sub,6
117,"(6,1)",6,1,sum,6
118,"(9,3)",9,3,sub,6
119,"(9,3)",9,3,sum,6
120,"(4,2)",4,2,sub,6
121,"(4,2)",4,2,sum,6
122,"(0,3)",0,3,sub,6
123,"(0,3)",0,3,sum,6
124,"(6,3)",6,3,sub,6
125,"(6,3)",6,3,sum,6
126,"(9,7)",9,7,sub,6
127,"(9,7)",9,7,sum,6
128,"(3,4)",3,4,sub,6
129,"(3,4)",3,4,sum,6
130,"(5,7)",5,7,sub,6
131,"(5,7)",5,7,sum,6
132,"(9,6)",9,6,sub,6
133,"(9,6)",9,6,sum,6
134,"(3,4)",3,4,sub,6
135,"(3,4)",3,4,sum,6
136,"(7,4)",7,4,sub,6
137,"(7,4)",7,4,sum,6
138,"(7,9)",7,9,sub,6
139,"(7,9)",7,9,sum,6
140,"(5,7)",5,7,sub,6
141,"(5,7)",5,7,sum,6
142,"(5,8)",5,8,sub,6
143,"(5,8)",5,8,sum,6
144,"(0,6)",0,6,sub,6
145,"(0,6)",0,6,sum,6
146,"(1,0)",1,0,sub,6
147,"(1,0)",1,0,sum,6
148,"(2,2)",2,2,sub,6
149,"(2,2)",2,2,sum,6
150,"(3,7)",3,7,sub,6
151,"(3,7)",3,7,sum,6
152,"(1,7)",1,7,sub,6
153,"(1,7)",1,7,sum,6
154,"(9,9)",9,9,sub,6
155,"(9,9)",9,9,sum,6
156,"(2,9)",2,9,sub,6
157,"(2,9)",2,9,sum,6
158,"(4,8)",4,8,sub,6
159,"(4,8)",4,8,sum,6
160,"(5,4)",5,4,sub,6
161,"(5,4)",5,4,sum,6
162,"(2,6)",2,6,sub,6
163,"(2,6)",2,6,sum,6
164,"(1,6)",1,6,sub,6
165,"(1,6)",1,6,sum,6
166,"(6,2)",6,2,sub,6
167,"(6,2)",6,2,sum,6
168,"(4,1)",4,1,sub,6
169,"(4,1)",4,1,sum,6
170,"(2,7)",2,7,sub,6
171,"(2,7)",2,7,sum,6
172,"(6,5)",6,5,sub,6
173,"(6,5)",6,5,sum,6
174,"(9,4)",9,4,sub,6
175,"(9,4)",9,4,sum,6
176,"(8,1)",8,1,sub,6
177,"(8,1)",8,1,sum,6
178,"(9,4)",9,4,sub,6
179,"(9,4)",9,4,sum,6
180,"(4,0)",4,0,sub,6
181,"(4,0)",4,0,sum,6
182,"(4,3)",4,3,sub,6
183,"(4,3)",4,3,sum,6
184,"(5,1)",5,1,sub,6
185,"(5,1)",5,1,sum,6
186,"(3,5)",3,5,sub,6
187,"(3,5)",3,5,sum,6
188,"(2,5)",2,5,sub,6
189,"(2,5)",2,5,sum,6
190,"(2,7)",2,7,sub,6
191,"(2,7)",2,7,sum,6
192,"(2,3)",2,3,sub,6
193,"(2,3)",2,3,sum,6
194,"(1,3)",1,3,sub,6
195,"(1,3)",1,3,sum,6
196,"(0,6)",0,6,sub,6
197,"(0,6)",0,6,sum,6
198,"(1,8)",1,8,sub,6
199,"(1,8)",1,8,sum,6
