,"(a,b)",input_a,input_b,const,output,MR3_input_a,MR3_input_b,MR3_inputs,MR3_output,MR3_checker
0,"(0,0)",0,0,6,0.0,6.0,6.0,"(6,6)",0.0,No-violated
1,"(1,0)",1,0,6,1.0,7.0,6.0,"(7,6)",1.0,No-violated
2,"(2,0)",2,0,6,2.0,8.0,6.0,"(8,6)",2.0,No-violated
3,"(3,0)",3,0,6,3.0,9.0,6.0,"(9,6)",3.0,No-violated
4,"(4,0)",4,0,6,4.0,10.0,6.0,"(10,6)",4.0,No-violated
5,"(5,0)",5,0,6,5.0,11.0,6.0,"(11,6)",5.0,No-violated
6,"(6,0)",6,0,6,6.0,12.0,6.0,"(12,6)",6.0,No-violated
7,"(7,0)",7,0,6,7.0,13.0,6.0,"(13,6)",7.0,No-violated
8,"(8,0)",8,0,6,8.0,14.0,6.0,"(14,6)",8.0,No-violated
9,"(9,0)",9,0,6,9.0,15.0,6.0,"(15,6)",9.0,No-violated
10,"(0,1)",0,1,6,-1.0,6.0,7.0,"(6,7)",-1.0,No-violated
11,"(1,1)",1,1,6,0.0,7.0,7.0,"(7,7)",0.0,No-violated
12,"(2,1)",2,1,6,1.0,8.0,7.0,"(8,7)",1.0,No-violated
13,"(3,1)",3,1,6,2.0,9.0,7.0,"(9,7)",2.0,No-violated
14,"(4,1)",4,1,6,3.0,10.0,7.0,"(10,7)",3.0,No-violated
15,"(5,1)",5,1,6,4.0,11.0,7.0,"(11,7)",4.0,No-violated
16,"(6,1)",6,1,6,5.0,12.0,7.0,"(12,7)",5.0,No-violated
17,"(7,1)",7,1,6,6.0,13.0,7.0,"(13,7)",6.0,No-violated
18,"(8,1)",8,1,6,7.0,14.0,7.0,"(14,7)",7.0,No-violated
19,"(9,1)",9,1,6,8.0,15.0,7.0,"(15,7)",8.0,No-violated
20,"(0,2)",0,2,6,-2.0,6.0,8.0,"(6,8)",-2.0,No-violated
21,"(1,2)",1,2,6,-1.0,7.0,8.0,"(7,8)",-1.0,No-violated
22,"(2,2)",2,2,6,0.0,8.0,8.0,"(8,8)",0.0,No-violated
23,"(3,2)",3,2,6,1.0,9.0,8.0,"(9,8)",1.0,No-violated
24,"(4,2)",4,2,6,2.0,10.0,8.0,"(10,8)",2.0,No-violated
25,"(5,2)",5,2,6,3.0,11.0,8.0,"(11,8)",3.0,No-violated
26,"(6,2)",6,2,6,4.0,12.0,8.0,"(12,8)",4.0,No-violated
27,"(7,2)",7,2,6,5.0,13.0,8.0,"(13,8)",5.0,No-violated
28,"(8,2)",8,2,6,6.0,14.0,8.0,"(14,8)",6.0,No-violated
29,"(9,2)",9,2,6,7.0,15.0,8.0,"(15,8)",7.0,No-violated
30,"(0,3)",0,3,6,-3.0,6.0,9.0,"(6,9)",-3.0,No-violated
31,"(1,3)",1,3,6,-2.0,7.0,9.0,"(7,9)",-2.0,No-violated
32,"(2,3)",2,3,6,-1.0,8.0,9.0,"(8,9)",-1.0,No-violated
33,"(3,3)",3,3,6,0.0,9.0,9.0,"(9,9)",0.0,No-violated
34,"(4,3)",4,3,6,1.0,10.0,9.0,"(10,9)",1.0,No-violated
35,"(5,3)",5,3,6,2.0,11.0,9.0,"(11,9)",2.0,No-violated
36,"(6,3)",6,3,6,3.0,12.0,9.0,"(12,9)",3.0,No-violated
37,"(7,3)",7,3,6,4.0,13.0,9.0,"(13,9)",4.0,No-violated
38,"(8,3)",8,3,6,5.0,14.0,9.0,"(14,9)",5.0,No-violated
