,"(a,b)",input_a,input_b,const,output,MR4_input_a,MR4_input_b,MR4_inputs,MR4_output,MR4_checker
0,"(0,0)",0,0,6,0.0,-6.0,-6.0,"(-6,-6)",-12.0,Violated
1,"(1,0)",1,0,6,1.0,-5.0,-6.0,"(-5,-6)",-11.0,Violated
2,"(2,0)",2,0,6,2.0,-4.0,-6.0,"(-4,-6)",-10.0,Violated
3,"(3,0)",3,0,6,3.0,-3.0,-6.0,"(-3,-6)",-9.0,Violated
4,"(4,0)",4,0,6,4.0,-2.0,-6.0,"(-2,-6)",-8.0,Violated
5,"(5,0)",5,0,6,5.0,-1.0,-6.0,"(-1,-6)",-7.0,Violated
6,"(6,0)",6,0,6,6.0,0.0,-6.0,"(0,-6)",-6.0,Violated
7,"(7,0)",7,0,6,7.0,1.0,-6.0,"(1,-6)",-5.0,Violated
8,"(8,0)",8,0,6,8.0,2.0,-6.0,"(2,-6)",-4.0,Violated
9,"(9,0)",9,0,6,9.0,3.0,-6.0,"(3,-6)",-3.0,Violated
10,"(0,1)",0,1,6,1.0,-6.0,-5.0,"(-6,-5)",-11.0,Violated
11,"(1,1)",1,1,6,2.0,-5.0,-5.0,"(-5,-5)",-10.0,Violated
12,"(2,1)",2,1,6,3.0,-4.0,-5.0,"(-4,-5)",-9.0,Violated
13,"(3,1)",3,1,6,4.0,-3.0,-5.0,"(-3,-5)",-8.0,Violated
14,"(4,1)",4,1,6,5.0,-2.0,-5.0,"(-2,-5)",-7.0,Violated
15,"(5,1)",5,1,6,6.0,-1.0,-5.0,"(-1,-5)",-6.0,Violated
16,"(6,1)",6,1,6,7.0,0.0,-5.0,"(0,-5)",-5.0,Violated
17,"(7,1)",7,1,6,8.0,1.0,-5.0,"(1,-5)",-4.0,Violated
18,"(8,1)",8,1,6,9.0,2.0,-5.0,"(2,-5)",-3.0,Violated
19,"(9,1)",9,1,6,10.0,3.0,-5.0,"(3,-5)",-2.0,Violated
20,"(0,2)",0,2,6,2.0,-6.0,-4.0,"(-6,-4)",-10.0,Violated
21,"(1,2)",1,2,6,3.0,-5.0,-4.0,"(-5,-4)",-9.0,Violated
22,"(2,2)",2,2,6,4.0,-4.0,-4.0,"(-4,-4)",-8.0,Violated
23,"(3,2)",3,2,6,5.0,-3.0,-4.0,"(-3,-4)",-7.0,Violated
24,"(4,2)",4,2,6,6.0,-2.0,-4.0,"(-2,-4)",-6.0,Violated
25,"(5,2)",5,2,6,7.0,-1.0,-4.0,"(-1,-4)",-5.0,Violated
26,"(6,2)",6,2,6,8.0,0.0,-4.0,"(0,-4)",-4.0,Violated
27,"(7,2)",7,2,6,9.0,1.0,-4.0,"(1,-4)",-3.0,Violated
28,"(8,2)",8,2,6,10.0,2.0,-4.0,"(2,-4)",-2.0,Violated
29,"(9,2)",9,2,6,11.0,3.0,-4.0,"(3,-4)",-1.0,Violated
30,"(0,3)",0,3,6,3.0,-6.0,-3.0,"(-6,-3)",-9.0,Violated
31,"(1,3)",1,3,6,4.0,-5.0,-3.0,"(-5,-3)",-8.0,Violated
32,"(2,3)",2,3,6,5.0,-4.0,-3.0,"(-4,-3)",-7.0,Violated
33,"(3,3)",3,3,6,6.0,-3.0,-3.0,"(-3,-3)",-6.0,Violated
34,"(4,3)",4,3,6,7.0,-2.0,-3.0,"(-2,-3)",-5.0,Violated
35,"(5,3)",5,3,6,8.0,-1.0,-3.0,"(-1,-3)",-4.0,Violated
36,"(6,3)",6,3,6,9.0,0.0,-3.0,"(0,-3)",-3.0,Violated
37,"(7,3)",7,3,6,10.0,1.0,-3.0,"(1,-3)",-2.0,Violated
38,"(8,3)",8,3,6,11.0,2.0,-3.0,"(2,-3)",-1.0,Violated
39,"(9,3)",9,3,6,12.0,3.0,-3.0,"(3,-3)",0.0,Violated
40,"(0,4)",0,4,6,4.0,-6.0,-2.0,"(-6,-2)",-8.0,Violated
41,"(1,4)",1,4,6,5.0,-5.0,-2.0,"(-5,-2)",-7.0,Violated
42,"(2,4)",2,4,6,6.0,-4.0,-2.0,"(-4,-2)",-6.0,Violated
43,"(3,4)",3,4,6,7.0,-3.0,-2.0,"(-3,-2)",-5.0,Violated
44,"(4,4)",4,4,6,8.0,-2.0,-2.0,"(-2,-2)",-4.0,Violated
45,"(5,4)",5,4,6,9.0,-1.0,-2.0,"(-1,-2)",-3.0,Violated
46,"(6,4)",6,4,6,10.0,0.0,-2.0,"(0,-2)",-2.0,Violated
47,"(7,4)",7,4,6,11.0,1.0,-2.0,"(1,-2)",-1.0,Violated
48,"(8,4)",8,4,6,12.0,2.0,-2.0,"(2,-2)",0.0,Violated
49,"(9,4)",9,4,6,13.0,3.0,-2.0,"(3,-2)",1.0,Violated
50,"(0,5)",0,5,6,5.0,-6.0,-1.0,"(-6,-1)",-7.0,Violated
51,"(1,5)",1,5,6,6.0,-5.0,-1.0,"(-5,-1)",-6.0,Violated
52,"(2,5)",2,5,6,7.0,-4.0,-1.0,"(-4,-1)",-5.0,Violated
53,"(3,5)",3,5,6,8.0,-3.0,-1.0,"(-3,-1)",-4.0,Violated
54,"(4,5)",4,5,6,9.0,-2.0,-1.0,"(-2,-1)",-3.0,Violated
55,"(5,5)",5,5,6,10.0,-1.0,-1.0,"(-1,-1)",-2.0,Violated
56,"(6,5)",6,5,6,11.0,0.0,-1.0,"(0,-1)",-1.0,Violated
57,"(7,5)",7,5,6,12.0,1.0,-1.0,"(1,-1)",0.0,Violated
58,"(8,5)",8,5,6,13.0,2.0,-1.0,"(2,-1)",1.0,Violated
59,"(9,5)",9,5,6,14.0,3.0,-1.0,"(3,-1)",2.0,Violated
60,"(0,6)",0,6,6,6.0,-6.0,0.0,"(-6,0)",-6.0,Violated
61,"(1,6)",1,6,6,7.0,-5.0,0.0,"(-5,0)",-5.0,Violated
62,"(2,6)",2,6,6,8.0,-4.0,0.0,"(-4,0)",-4.0,Violated
63,"(3,6)",3,6,6,9.0,-3.0,0.0,"(-3,0)",-3.0,Violated
64,"(4,6)",4,6,6,10.0,-2.0,0.0,"(-2,0)",-2.0,Violated
65,"(5,6)",5,6,6,11.0,-1.0,0.0,"(-1,0)",-1.0,Violated
66,"(6,6)",6,6,6,12.0,0.0,0.0,"(0,0)",0.0,Violated
67,"(7,6)",7,6,6,13.0,1.0,0.0,"(1,0)",1.0,Violated
68,"(8,6)",8,6,6,14.0,2.0,0.0,"(2,0)",2.0,Violated
69,"(9,6)",9,6,6,15.0,3.0,0.0,"(3,0)",3.0,Violated
70,"(0,7)",0,7,6,7.0,-6.0,1.0,"(-6,1)",-5.0,Violated
71,"(1,7)",1,7,6,8.0,-5.0,1.0,"(-5,1)",-4.0,Violated
72,"(2,7)",2,7,6,9.0,-4.0,1.0,"(-4,1)",-3.0,Violated
73,"(3,7)",3,7,6,10.0,-3.0,1.0,"(-3,1)",-2.0,Violated
74,"(4,7)",4,7,6,11.0,-2.0,1.0,"(-2,1)",-1.0,Violated
75,"(5,7)",5,7,6,12.0,-1.0,1.0,"(-1,1)",0.0,Violated
