,input_a,input_b,operand,operand_str,output,MR1_input_a,MR1_input_b,MR1_output,constant_MR2,MR2_input_a,MR2_input_b,MR2_output,constant_MR3,MR3_input_a,MR3_input_b,MR3_output,constant_MR4,MR4_input_a,MR4_input_b,MR4_output
0,3,0,0,sum,3.0,0.0,3.0,3.0,5.0,15.0,0.0,15.0,6.0,9.0,6.0,15.0,9.0,-6.0,-9.0,-15.0
1,7,5,0,sum,12.0,5.0,7.0,12.0,8.0,56.0,40.0,96.0,7.0,14.0,12.0,26.0,6.0,1.0,-1.0,0.0
2,7,1,0,sum,8.0,1.0,7.0,8.0,7.0,49.0,7.0,56.0,3.0,10.0,4.0,14.0,4.0,3.0,-3.0,0.0
3,4,0,0,sum,4.0,0.0,4.0,4.0,1.0,4.0,0.0,4.0,9.0,13.0,9.0,22.0,1.0,3.0,-1.0,2.0
4,1,4,0,sum,5.0,4.0,1.0,5.0,2.0,2.0,8.0,10.0,6.0,7.0,10.0,17.0,2.0,-1.0,2.0,1.0
5,2,1,0,sum,3.0,1.0,2.0,3.0,3.0,6.0,3.0,9.0,9.0,11.0,10.0,21.0,7.0,-5.0,-6.0,-11.0
6,3,6,0,sum,9.0,6.0,3.0,9.0,9.0,27.0,54.0,81.0,8.0,11.0,14.0,25.0,7.0,-4.0,-1.0,-5.0
7,9,5,0,sum,14.0,5.0,9.0,14.0,6.0,54.0,30.0,84.0,5.0,14.0,10.0,24.0,9.0,0.0,-4.0,-4.0
8,5,2,0,sum,7.0,2.0,5.0,7.0,6.0,30.0,12.0,42.0,9.0,14.0,11.0,25.0,6.0,-1.0,-4.0,-5.0
9,8,6,0,sum,14.0,6.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,14.0,2.0,6.0,4.0,10.0
10,4,8,0,sum,12.0,8.0,4.0,12.0,3.0,12.0,24.0,36.0,2.0,6.0,10.0,16.0,2.0,2.0,6.0,8.0
11,7,8,0,sum,15.0,8.0,7.0,15.0,0.0,0.0,0.0,0.0,9.0,16.0,17.0,33.0,5.0,2.0,3.0,5.0
12,9,7,0,sum,16.0,7.0,9.0,16.0,3.0,27.0,21.0,48.0,4.0,13.0,11.0,24.0,2.0,7.0,5.0,12.0
13,3,4,0,sum,7.0,4.0,3.0,7.0,9.0,27.0,36.0,63.0,3.0,6.0,7.0,13.0,0.0,3.0,4.0,7.0
14,7,3,0,sum,10.0,3.0,7.0,10.0,8.0,56.0,24.0,80.0,9.0,16.0,12.0,28.0,8.0,-1.0,-5.0,-6.0
15,5,0,0,sum,5.0,0.0,5.0,5.0,2.0,10.0,0.0,10.0,7.0,12.0,7.0,19.0,2.0,3.0,-2.0,1.0
16,7,5,0,sum,12.0,5.0,7.0,12.0,8.0,56.0,40.0,96.0,9.0,16.0,14.0,30.0,2.0,5.0,3.0,8.0
17,3,5,0,sum,8.0,5.0,3.0,8.0,2.0,6.0,10.0,16.0,2.0,5.0,7.0,12.0,0.0,3.0,5.0,8.0
18,9,5,0,sum,14.0,5.0,9.0,14.0,0.0,0.0,0.0,0.0,3.0,12.0,8.0,20.0,3.0,6.0,2.0,8.0
19,3,4,0,sum,7.0,4.0,3.0,7.0,7.0,21.0,28.0,49.0,8.0,11.0,12.0,23.0,7.0,-4.0,-3.0,-7.0
20,2,1,0,sum,3.0,1.0,2.0,3.0,4.0,8.0,4.0,12.0,0.0,2.0,1.0,3.0,9.0,-7.0,-8.0,-15.0
21,3,7,0,sum,10.0,7.0,3.0,10.0,7.0,21.0,49.0,70.0,2.0,5.0,9.0,14.0,0.0,3.0,7.0,10.0
22,4,9,0,sum,13.0,9.0,4.0,13.0,2.0,8.0,18.0,26.0,2.0,6.0,11.0,17.0,6.0,-2.0,3.0,1.0
23,6,0,0,sum,6.0,0.0,6.0,6.0,3.0,18.0,0.0,18.0,1.0,7.0,1.0,8.0,4.0,2.0,-4.0,-2.0
24,5,0,0,sum,5.0,0.0,5.0,5.0,7.0,35.0,0.0,35.0,1.0,6.0,1.0,7.0,8.0,-3.0,-8.0,-11.0
25,1,3,0,sum,4.0,3.0,1.0,4.0,1.0,1.0,3.0,4.0,2.0,3.0,5.0,8.0,8.0,-7.0,-5.0,-12.0
26,5,0,0,sum,5.0,0.0,5.0,5.0,1.0,5.0,0.0,5.0,4.0,9.0,4.0,13.0,8.0,-3.0,-8.0,-11.0
27,1,1,0,sum,2.0,1.0,1.0,2.0,9.0,9.0,9.0,18.0,9.0,10.0,10.0,20.0,1.0,0.0,0.0,0.0
28,1,6,0,sum,7.0,6.0,1.0,7.0,8.0,8.0,48.0,56.0,0.0,1.0,6.0,7.0,2.0,-1.0,4.0,3.0
29,5,7,0,sum,12.0,7.0,5.0,12.0,9.0,45.0,63.0,108.0,1.0,6.0,8.0,14.0,6.0,-1.0,1.0,0.0
30,0,6,0,sum,6.0,6.0,0.0,6.0,6.0,0.0,36.0,36.0,4.0,4.0,10.0,14.0,6.0,-6.0,0.0,-6.0
31,3,9,0,sum,12.0,9.0,3.0,12.0,1.0,3.0,9.0,12.0,6.0,9.0,15.0,24.0,4.0,-1.0,5.0,4.0
32,6,8,0,sum,14.0,8.0,6.0,14.0,4.0,24.0,32.0,56.0,8.0,14.0,16.0,30.0,3.0,3.0,5.0,8.0
33,9,5,0,sum,14.0,5.0,9.0,14.0,0.0,0.0,0.0,0.0,3.0,12.0,8.0,20.0,9.0,0.0,-4.0,-4.0
34,1,8,0,sum,9.0,8.0,1.0,9.0,5.0,5.0,40.0,45.0,0.0,1.0,8.0,9.0,6.0,-5.0,2.0,-3.0
35,9,6,0,sum,15.0,6.0,9.0,15.0,7.0,63.0,42.0,105.0,0.0,9.0,6.0,15.0,8.0,1.0,-2.0,-1.0
36,5,0,0,sum,5.0,0.0,5.0,5.0,2.0,10.0,0.0,10.0,9.0,14.0,9.0,23.0,5.0,0.0,-5.0,-5.0
37,4,0,0,sum,4.0,0.0,4.0,4.0,6.0,24.0,0.0,24.0,6.0,10.0,6.0,16.0,6.0,-2.0,-6.0,-8.0
38,1,2,0,sum,3.0,2.0,1.0,3.0,3.0,3.0,6.0,9.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0
39,8,4,0,sum,12.0,4.0,8.0,12.0,5.0,40.0,20.0,60.0,2.0,10.0,6.0,16.0,9.0,-1.0,-5.0,-6.0
40,3,3,0,sum,6.0,3.0,3.0,6.0,6.0,18.0,18.0,36.0,0.0,3.0,3.0,6.0,5.0,-2.0,-2.0,-4.0
41,2,0,0,sum,2.0,0.0,2.0,2.0,9.0,18.0,0.0,18.0,3.0,5.0,3.0,8.0,5.0,-3.0,-5.0,-8.0
42,3,5,0,sum,8.0,5.0,3.0,8.0,7.0,21.0,35.0,56.0,4.0,7.0,9.0,16.0,5.0,-2.0,0.0,-2.0
43,5,6,0,sum,11.0,6.0,5.0,11.0,8.0,40.0,48.0,88.0,0.0,5.0,6.0,11.0,8.0,-3.0,-2.0,-5.0
44,5,4,0,sum,9.0,4.0,5.0,9.0,2.0,10.0,8.0,18.0,3.0,8.0,7.0,15.0,6.0,-1.0,-2.0,-3.0
45,1,3,0,sum,4.0,3.0,1.0,4.0,3.0,3.0,9.0,12.0,4.0,5.0,7.0,12.0,9.0,-8.0,-6.0,-14.0
46,8,0,0,sum,8.0,0.0,8.0,8.0,7.0,56.0,0.0,56.0,8.0,16.0,8.0,24.0,8.0,0.0,-8.0,-8.0
47,9,7,0,sum,16.0,7.0,9.0,16.0,2.0,18.0,14.0,32.0,6.0,15.0,13.0,28.0,8.0,1.0,-1.0,0.0
48,3,9,0,sum,12.0,9.0,3.0,12.0,4.0,12.0,36.0,48.0,5.0,8.0,14.0,22.0,5.0,-2.0,4.0,2.0
49,9,4,0,sum,13.0,4.0,9.0,13.0,6.0,54.0,24.0,78.0,1.0,10.0,5.0,15.0,8.0,1.0,-4.0,-3.0
50,1,3,0,sum,4.0,3.0,1.0,4.0,7.0,7.0,21.0,28.0,1.0,2.0,4.0,6.0,9.0,-8.0,-6.0,-14.0
51,9,2,0,sum,11.0,2.0,9.0,11.0,6.0,54.0,12.0,66.0,8.0,17.0,10.0,27.0,9.0,0.0,-7.0,-7.0
52,9,2,0,sum,11.0,2.0,9.0,11.0,1.0,9.0,2.0,11.0,0.0,9.0,2.0,11.0,4.0,5.0,-2.0,3.0
53,5,0,0,sum,5.0,0.0,5.0,5.0,9.0,45.0,0.0,45.0,3.0,8.0,3.0,11.0,5.0,0.0,-5.0,-5.0
54,6,6,0,sum,12.0,6.0,6.0,12.0,4.0,24.0,24.0,48.0,7.0,13.0,13.0,26.0,3.0,3.0,3.0,6.0
55,8,5,0,sum,13.0,5.0,8.0,13.0,1.0,8.0,5.0,13.0,0.0,8.0,5.0,13.0,3.0,5.0,2.0,7.0
56,6,1,0,sum,7.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,3.0,9.0,4.0,13.0,8.0,-2.0,-7.0,-9.0
57,7,4,0,sum,11.0,4.0,7.0,11.0,7.0,49.0,28.0,77.0,1.0,8.0,5.0,13.0,3.0,4.0,1.0,5.0
58,1,4,0,sum,5.0,4.0,1.0,5.0,6.0,6.0,24.0,30.0,0.0,1.0,4.0,5.0,6.0,-5.0,-2.0,-7.0
59,9,4,0,sum,13.0,4.0,9.0,13.0,9.0,81.0,36.0,117.0,4.0,13.0,8.0,21.0,6.0,3.0,-2.0,1.0
60,6,6,0,sum,12.0,6.0,6.0,12.0,3.0,18.0,18.0,36.0,9.0,15.0,15.0,30.0,7.0,-1.0,-1.0,-2.0
61,7,3,0,sum,10.0,3.0,7.0,10.0,3.0,21.0,9.0,30.0,0.0,7.0,3.0,10.0,8.0,-1.0,-5.0,-6.0
62,9,4,0,sum,13.0,4.0,9.0,13.0,8.0,72.0,32.0,104.0,0.0,9.0,4.0,13.0,4.0,5.0,0.0,5.0
63,1,4,0,sum,5.0,4.0,1.0,5.0,8.0,8.0,32.0,40.0,4.0,5.0,8.0,13.0,2.0,-1.0,2.0,1.0
64,6,5,0,sum,11.0,5.0,6.0,11.0,2.0,12.0,10.0,22.0,3.0,9.0,8.0,17.0,6.0,0.0,-1.0,-1.0
65,5,7,0,sum,12.0,7.0,5.0,12.0,5.0,25.0,35.0,60.0,6.0,11.0,13.0,24.0,1.0,4.0,6.0,10.0
66,4,4,0,sum,8.0,4.0,4.0,8.0,9.0,36.0,36.0,72.0,1.0,5.0,5.0,10.0,6.0,-2.0,-2.0,-4.0
67,5,3,0,sum,8.0,3.0,5.0,8.0,6.0,30.0,18.0,48.0,0.0,5.0,3.0,8.0,3.0,2.0,0.0,2.0
68,4,1,0,sum,5.0,1.0,4.0,5.0,6.0,24.0,6.0,30.0,5.0,9.0,6.0,15.0,0.0,4.0,1.0,5.0
69,7,9,0,sum,16.0,9.0,7.0,16.0,2.0,14.0,18.0,32.0,7.0,14.0,16.0,30.0,1.0,6.0,8.0,14.0
70,7,8,0,sum,15.0,8.0,7.0,15.0,1.0,7.0,8.0,15.0,4.0,11.0,12.0,23.0,2.0,5.0,6.0,11.0
71,5,8,0,sum,13.0,8.0,5.0,13.0,0.0,0.0,0.0,0.0,3.0,8.0,11.0,19.0,7.0,-2.0,1.0,-1.0
