,input_a,input_b,operand,operand_str,output,MR1_input_a,MR1_input_b,MR1_output,MR1_checker,MR1_checker_str
0,3,0,1,sub,3.0,0.0,3.0,-3.0,0.0,Violated
1,7,5,1,sub,2.0,5.0,7.0,-2.0,0.0,Violated
2,7,1,1,sub,6.0,1.0,7.0,-6.0,0.0,Violated
3,4,0,1,sub,4.0,0.0,4.0,-4.0,0.0,Violated
4,1,4,1,sub,-3.0,4.0,1.0,3.0,0.0,Violated
5,2,1,1,sub,1.0,1.0,2.0,-1.0,0.0,Violated
6,3,6,1,sub,-3.0,6.0,3.0,3.0,0.0,Violated
7,9,5,1,sub,4.0,5.0,9.0,-4.0,0.0,Violated
8,5,2,1,sub,3.0,2.0,5.0,-3.0,0.0,Violated
9,8,6,1,sub,2.0,6.0,8.0,-2.0,0.0,Violated
10,4,8,1,sub,-4.0,8.0,4.0,4.0,0.0,Violated
11,7,8,1,sub,-1.0,8.0,7.0,1.0,0.0,Violated
12,9,7,1,sub,2.0,7.0,9.0,-2.0,0.0,Violated
13,3,4,1,sub,-1.0,4.0,3.0,1.0,0.0,Violated
14,7,3,1,sub,4.0,3.0,7.0,-4.0,0.0,Violated
15,5,0,1,sub,5.0,0.0,5.0,-5.0,0.0,Violated
16,7,5,1,sub,2.0,5.0,7.0,-2.0,0.0,Violated
17,3,5,1,sub,-2.0,5.0,3.0,2.0,0.0,Violated
18,9,5,1,sub,4.0,5.0,9.0,-4.0,0.0,Violated
19,3,4,1,sub,-1.0,4.0,3.0,1.0,0.0,Violated
20,2,1,1,sub,1.0,1.0,2.0,-1.0,0.0,Violated
21,3,7,1,sub,-4.0,7.0,3.0,4.0,0.0,Violated
22,4,9,1,sub,-5.0,9.0,4.0,5.0,0.0,Violated
23,6,0,1,sub,6.0,0.0,6.0,-6.0,0.0,Violated
24,5,0,1,sub,5.0,0.0,5.0,-5.0,0.0,Violated
25,1,3,1,sub,-2.0,3.0,1.0,2.0,0.0,Violated
26,5,0,1,sub,5.0,0.0,5.0,-5.0,0.0,Violated
27,1,1,1,sub,0.0,1.0,1.0,0.0,1.0,No-violated
28,1,6,1,sub,-5.0,6.0,1.0,5.0,0.0,Violated
29,5,7,1,sub,-2.0,7.0,5.0,2.0,0.0,Violated
30,0,6,1,sub,-6.0,6.0,0.0,6.0,0.0,Violated
31,3,9,1,sub,-6.0,9.0,3.0,6.0,0.0,Violated
32,6,8,1,sub,-2.0,8.0,6.0,2.0,0.0,Violated
33,9,5,1,sub,4.0,5.0,9.0,-4.0,0.0,Violated
34,1,8,1,sub,-7.0,8.0,1.0,7.0,0.0,Violated
35,9,6,1,sub,3.0,6.0,9.0,-3.0,0.0,Violated
36,5,0,1,sub,5.0,0.0,5.0,-5.0,0.0,Violated
37,4,0,1,sub,4.0,0.0,4.0,-4.0,0.0,Violated
38,1,2,1,sub,-1.0,2.0,1.0,1.0,0.0,Violated
39,8,4,1,sub,4.0,4.0,8.0,-4.0,0.0,Violated
40,3,3,1,sub,0.0,3.0,3.0,0.0,1.0,No-violated
41,2,0,1,sub,2.0,0.0,2.0,-2.0,0.0,Violated
42,3,5,1,sub,-2.0,5.0,3.0,2.0,0.0,Violated
43,5,6,1,sub,-1.0,6.0,5.0,1.0,0.0,Violated
44,5,4,1,sub,1.0,4.0,5.0,-1.0,0.0,Violated
45,1,3,1,sub,-2.0,3.0,1.0,2.0,0.0,Violated
46,8,0,1,sub,8.0,0.0,8.0,-8.0,0.0,Violated
47,9,7,1,sub,2.0,7.0,9.0,-2.0,0.0,Violated
48,3,9,1,sub,-6.0,9.0,3.0,6.0,0.0,Violated
49,9,4,1,sub,5.0,4.0,9.0,-5.0,0.0,Violated
50,1,3,1,sub,-2.0,3.0,1.0,2.0,0.0,Violated
51,9,2,1,sub,7.0,2.0,9.0,-7.0,0.0,Violated
52,9,2,1,sub,7.0,2.0,9.0,-7.0,0.0,Violated
53,5,0,1,sub,5.0,0.0,5.0,-5.0,0.0,Violated
54,6,6,1,sub,0.0,6.0,6.0,0.0,1.0,No-violated
55,8,5,1,sub,3.0,5.0,8.0,-3.0,0.0,Violated
56,6,1,1,sub,5.0,1.0,6.0,-5.0,0.0,Violated
57,7,4,1,sub,3.0,4.0,7.0,-3.0,0.0,Violated
58,1,4,1,sub,-3.0,4.0,1.0,3.0,0.0,Violated
59,9,4,1,sub,5.0,4.0,9.0,-5.0,0.0,Violated
60,6,6,1,sub,0.0,6.0,6.0,0.0,1.0,No-violated
61,7,3,1,sub,4.0,3.0,7.0,-4.0,0.0,Violated
62,9,4,1,sub,5.0,4.0,9.0,-5.0,0.0,Violated
63,1,4,1,sub,-3.0,4.0,1.0,3.0,0.0,Violated
64,6,5,1,sub,1.0,5.0,6.0,-1.0,0.0,Violated
65,5,7,1,sub,-2.0,7.0,5.0,2.0,0.0,Violated
66,4,4,1,sub,0.0,4.0,4.0,0.0,1.0,No-violated
67,5,3,1,sub,2.0,3.0,5.0,-2.0,0.0,Violated
68,4,1,1,sub,3.0,1.0,4.0,-3.0,0.0,Violated
69,7,9,1,sub,-2.0,9.0,7.0,2.0,0.0,Violated
70,7,8,1,sub,-1.0,8.0,7.0,1.0,0.0,Violated
71,5,8,1,sub,-3.0,8.0,5.0,3.0,0.0,Violated
72,2,7,1,sub,-5.0,7.0,2.0,5.0,0.0,Violated
73,9,3,1,sub,6.0,3.0,9.0,-6.0,0.0,Violated
74,8,9,1,sub,-1.0,9.0,8.0,1.0,0.0,Violated
75,0,5,1,sub,-5.0,5.0,0.0,5.0,0.0,Violated
76,0,7,1,sub,-7.0,7.0,0.0,7.0,0.0,Violated
77,0,1,1,sub,-1.0,1.0,0.0,1.0,0.0,Violated
78,2,1,1,sub,1.0,1.0,2.0,-1.0,0.0,Violated
79,5,6,1,sub,-1.0,6.0,5.0,1.0,0.0,Violated
80,3,6,1,sub,-3.0,6.0,3.0,3.0,0.0,Violated
81,3,1,1,sub,2.0,1.0,3.0,-2.0,0.0,Violated
82,7,3,1,sub,4.0,3.0,7.0,-4.0,0.0,Violated
83,6,2,1,sub,4.0,2.0,6.0,-4.0,0.0,Violated
84,0,5,1,sub,-5.0,5.0,0.0,5.0,0.0,Violated
85,8,4,1,sub,4.0,4.0,8.0,-4.0,0.0,Violated
86,7,3,1,sub,4.0,3.0,7.0,-4.0,0.0,Violated
87,4,1,1,sub,3.0,1.0,4.0,-3.0,0.0,Violated
88,9,1,1,sub,8.0,1.0,9.0,-8.0,0.0,Violated
89,6,4,1,sub,2.0,4.0,6.0,-2.0,0.0,Violated
90,7,2,1,sub,5.0,2.0,7.0,-5.0,0.0,Violated
91,5,5,1,sub,0.0,5.0,5.0,0.0,1.0,No-violated
92,8,0,1,sub,8.0,0.0,8.0,-8.0,0.0,Violated
93,6,3,1,sub,3.0,3.0,6.0,-3.0,0.0,Violated
94,4,1,1,sub,3.0,1.0,4.0,-3.0,0.0,Violated
95,8,7,1,sub,1.0,7.0,8.0,-1.0,0.0,Violated
96,1,9,1,sub,-8.0,9.0,1.0,8.0,0.0,Violated
97,3,1,1,sub,2.0,1.0,3.0,-2.0,0.0,Violated
98,1,4,1,sub,-3.0,4.0,1.0,3.0,0.0,Violated
99,9,7,1,sub,2.0,7.0,9.0,-2.0,0.0,Violated
