,input_a,input_b,operand,operand_str,output,constant,MR4_input_a,MR4_input_b,MR4_output,MR4_checker,MR4_checker_str
0,3,0,1,sub,3.0,5.0,-2.0,-5.0,3.0,1.0,No-violated
1,7,5,1,sub,2.0,8.0,-1.0,-3.0,2.0,1.0,No-violated
2,7,1,1,sub,6.0,7.0,0.0,-6.0,6.0,1.0,No-violated
3,4,0,1,sub,4.0,1.0,3.0,-1.0,4.0,1.0,No-violated
4,1,4,1,sub,-3.0,2.0,-1.0,2.0,-3.0,1.0,No-violated
5,2,1,1,sub,1.0,3.0,-1.0,-2.0,1.0,1.0,No-violated
6,3,6,1,sub,-3.0,9.0,-6.0,-3.0,-3.0,1.0,No-violated
7,9,5,1,sub,4.0,6.0,3.0,-1.0,4.0,1.0,No-violated
8,5,2,1,sub,3.0,6.0,-1.0,-4.0,3.0,1.0,No-violated
9,8,6,1,sub,2.0,0.0,8.0,6.0,2.0,1.0,No-violated
10,4,8,1,sub,-4.0,3.0,1.0,5.0,-4.0,1.0,No-violated
11,7,8,1,sub,-1.0,0.0,7.0,8.0,-1.0,1.0,No-violated
12,9,7,1,sub,2.0,3.0,6.0,4.0,2.0,1.0,No-violated
13,3,4,1,sub,-1.0,9.0,-6.0,-5.0,-1.0,1.0,No-violated
14,7,3,1,sub,4.0,8.0,-1.0,-5.0,4.0,1.0,No-violated
15,5,0,1,sub,5.0,2.0,3.0,-2.0,5.0,1.0,No-violated
16,7,5,1,sub,2.0,8.0,-1.0,-3.0,2.0,1.0,No-violated
17,3,5,1,sub,-2.0,2.0,1.0,3.0,-2.0,1.0,No-violated
18,9,5,1,sub,4.0,0.0,9.0,5.0,4.0,1.0,No-violated
19,3,4,1,sub,-1.0,7.0,-4.0,-3.0,-1.0,1.0,No-violated
20,2,1,1,sub,1.0,4.0,-2.0,-3.0,1.0,1.0,No-violated
21,3,7,1,sub,-4.0,7.0,-4.0,0.0,-4.0,1.0,No-violated
22,4,9,1,sub,-5.0,2.0,2.0,7.0,-5.0,1.0,No-violated
23,6,0,1,sub,6.0,3.0,3.0,-3.0,6.0,1.0,No-violated
24,5,0,1,sub,5.0,7.0,-2.0,-7.0,5.0,1.0,No-violated
25,1,3,1,sub,-2.0,1.0,0.0,2.0,-2.0,1.0,No-violated
26,5,0,1,sub,5.0,1.0,4.0,-1.0,5.0,1.0,No-violated
27,1,1,1,sub,0.0,9.0,-8.0,-8.0,0.0,1.0,No-violated
28,1,6,1,sub,-5.0,8.0,-7.0,-2.0,-5.0,1.0,No-violated
29,5,7,1,sub,-2.0,9.0,-4.0,-2.0,-2.0,1.0,No-violated
30,0,6,1,sub,-6.0,6.0,-6.0,0.0,-6.0,1.0,No-violated
31,3,9,1,sub,-6.0,1.0,2.0,8.0,-6.0,1.0,No-violated
32,6,8,1,sub,-2.0,4.0,2.0,4.0,-2.0,1.0,No-violated
33,9,5,1,sub,4.0,0.0,9.0,5.0,4.0,1.0,No-violated
34,1,8,1,sub,-7.0,5.0,-4.0,3.0,-7.0,1.0,No-violated
35,9,6,1,sub,3.0,7.0,2.0,-1.0,3.0,1.0,No-violated
36,5,0,1,sub,5.0,2.0,3.0,-2.0,5.0,1.0,No-violated
37,4,0,1,sub,4.0,6.0,-2.0,-6.0,4.0,1.0,No-violated
38,1,2,1,sub,-1.0,3.0,-2.0,-1.0,-1.0,1.0,No-violated
39,8,4,1,sub,4.0,5.0,3.0,-1.0,4.0,1.0,No-violated
40,3,3,1,sub,0.0,6.0,-3.0,-3.0,0.0,1.0,No-violated
41,2,0,1,sub,2.0,9.0,-7.0,-9.0,2.0,1.0,No-violated
42,3,5,1,sub,-2.0,7.0,-4.0,-2.0,-2.0,1.0,No-violated
43,5,6,1,sub,-1.0,8.0,-3.0,-2.0,-1.0,1.0,No-violated
44,5,4,1,sub,1.0,2.0,3.0,2.0,1.0,1.0,No-violated
45,1,3,1,sub,-2.0,3.0,-2.0,0.0,-2.0,1.0,No-violated
46,8,0,1,sub,8.0,7.0,1.0,-7.0,8.0,1.0,No-violated
47,9,7,1,sub,2.0,2.0,7.0,5.0,2.0,1.0,No-violated
48,3,9,1,sub,-6.0,4.0,-1.0,5.0,-6.0,1.0,No-violated
49,9,4,1,sub,5.0,6.0,3.0,-2.0,5.0,1.0,No-violated
50,1,3,1,sub,-2.0,7.0,-6.0,-4.0,-2.0,1.0,No-violated
51,9,2,1,sub,7.0,6.0,3.0,-4.0,7.0,1.0,No-violated
52,9,2,1,sub,7.0,1.0,8.0,1.0,7.0,1.0,No-violated
53,5,0,1,sub,5.0,9.0,-4.0,-9.0,5.0,1.0,No-violated
54,6,6,1,sub,0.0,4.0,2.0,2.0,0.0,1.0,No-violated
55,8,5,1,sub,3.0,1.0,7.0,4.0,3.0,1.0,No-violated
56,6,1,1,sub,5.0,0.0,6.0,1.0,5.0,1.0,No-violated
57,7,4,1,sub,3.0,7.0,0.0,-3.0,3.0,1.0,No-violated
58,1,4,1,sub,-3.0,6.0,-5.0,-2.0,-3.0,1.0,No-violated
59,9,4,1,sub,5.0,9.0,0.0,-5.0,5.0,1.0,No-violated
60,6,6,1,sub,0.0,3.0,3.0,3.0,0.0,1.0,No-violated
61,7,3,1,sub,4.0,3.0,4.0,0.0,4.0,1.0,No-violated
62,9,4,1,sub,5.0,8.0,1.0,-4.0,5.0,1.0,No-violated
63,1,4,1,sub,-3.0,8.0,-7.0,-4.0,-3.0,1.0,No-violated
64,6,5,1,sub,1.0,2.0,4.0,3.0,1.0,1.0,No-violated
65,5,7,1,sub,-2.0,5.0,0.0,2.0,-2.0,1.0,No-violated
66,4,4,1,sub,0.0,9.0,-5.0,-5.0,0.0,1.0,No-violated
67,5,3,1,sub,2.0,6.0,-1.0,-3.0,2.0,1.0,No-violated
68,4,1,1,sub,3.0,6.0,-2.0,-5.0,3.0,1.0,No-violated
69,7,9,1,sub,-2.0,2.0,5.0,7.0,-2.0,1.0,No-violated
70,7,8,1,sub,-1.0,1.0,6.0,7.0,-1.0,1.0,No-violated
71,5,8,1,sub,-3.0,0.0,5.0,8.0,-3.0,1.0,No-violated
72,2,7,1,sub,-5.0,0.0,2.0,7.0,-5.0,1.0,No-violated
73,9,3,1,sub,6.0,7.0,2.0,-4.0,6.0,1.0,No-violated
74,8,9,1,sub,-1.0,2.0,6.0,7.0,-1.0,1.0,No-violated
75,0,5,1,sub,-5.0,5.0,-5.0,0.0,-5.0,1.0,No-violated
76,0,7,1,sub,-7.0,8.0,-8.0,-1.0,-7.0,1.0,No-violated
77,0,1,1,sub,-1.0,8.0,-8.0,-7.0,-1.0,1.0,No-violated
78,2,1,1,sub,1.0,4.0,-2.0,-3.0,1.0,1.0,No-violated
79,5,6,1,sub,-1.0,7.0,-2.0,-1.0,-1.0,1.0,No-violated
80,3,6,1,sub,-3.0,9.0,-6.0,-3.0,-3.0,1.0,No-violated
81,3,1,1,sub,2.0,1.0,2.0,0.0,2.0,1.0,No-violated
82,7,3,1,sub,4.0,8.0,-1.0,-5.0,4.0,1.0,No-violated
83,6,2,1,sub,4.0,7.0,-1.0,-5.0,4.0,1.0,No-violated
84,0,5,1,sub,-5.0,7.0,-7.0,-2.0,-5.0,1.0,No-violated
85,8,4,1,sub,4.0,6.0,2.0,-2.0,4.0,1.0,No-violated
86,7,3,1,sub,4.0,4.0,3.0,-1.0,4.0,1.0,No-violated
87,4,1,1,sub,3.0,0.0,4.0,1.0,3.0,1.0,No-violated
88,9,1,1,sub,8.0,3.0,6.0,-2.0,8.0,1.0,No-violated
89,6,4,1,sub,2.0,9.0,-3.0,-5.0,2.0,1.0,No-violated
90,7,2,1,sub,5.0,9.0,-2.0,-7.0,5.0,1.0,No-violated
91,5,5,1,sub,0.0,1.0,4.0,4.0,0.0,1.0,No-violated
92,8,0,1,sub,8.0,5.0,3.0,-5.0,8.0,1.0,No-violated
93,6,3,1,sub,3.0,5.0,1.0,-2.0,3.0,1.0,No-violated
94,4,1,1,sub,3.0,1.0,3.0,0.0,3.0,1.0,No-violated
95,8,7,1,sub,1.0,1.0,7.0,6.0,1.0,1.0,No-violated
96,1,9,1,sub,-8.0,3.0,-2.0,6.0,-8.0,1.0,No-violated
97,3,1,1,sub,2.0,3.0,0.0,-2.0,2.0,1.0,No-violated
98,1,4,1,sub,-3.0,5.0,-4.0,-1.0,-3.0,1.0,No-violated
99,9,7,1,sub,2.0,7.0,2.0,0.0,2.0,1.0,No-violated
