,"(a,b)",input_a,input_b,operand,const,output,MR3_input_a,MR3_input_b,MR3_inputs,MR3_output,MR3_checker
0,"(9,2)",9,2,sub,6,7.0,15.0,8.0,"(15,8)",7.0,No-violated
1,"(8,1)",8,1,sub,6,7.0,14.0,7.0,"(14,7)",7.0,No-violated
2,"(4,8)",4,8,sub,6,-4.0,10.0,14.0,"(10,14)",-4.0,No-violated
3,"(7,2)",7,2,sub,6,5.0,13.0,8.0,"(13,8)",5.0,No-violated
4,"(0,6)",0,6,sub,6,-6.0,6.0,12.0,"(6,12)",-6.0,No-violated
5,"(2,5)",2,5,sub,6,-3.0,8.0,11.0,"(8,11)",-3.0,No-violated
6,"(5,0)",5,0,sub,6,5.0,11.0,6.0,"(11,6)",5.0,No-violated
7,"(4,9)",4,9,sub,6,-5.0,10.0,15.0,"(10,15)",-5.0,No-violated
8,"(2,1)",2,1,sub,6,1.0,8.0,7.0,"(8,7)",1.0,No-violated
9,"(7,6)",7,6,sub,6,1.0,13.0,12.0,"(13,12)",1.0,No-violated
10,"(4,3)",4,3,sub,6,1.0,10.0,9.0,"(10,9)",1.0,No-violated
11,"(9,8)",9,8,sub,6,1.0,15.0,14.0,"(15,14)",1.0,No-violated
12,"(5,0)",5,0,sub,6,5.0,11.0,6.0,"(11,6)",5.0,No-violated
13,"(8,5)",8,5,sub,6,3.0,14.0,11.0,"(14,11)",3.0,No-violated
14,"(6,2)",6,2,sub,6,4.0,12.0,8.0,"(12,8)",4.0,No-violated
15,"(1,2)",1,2,sub,6,-1.0,7.0,8.0,"(7,8)",-1.0,No-violated
16,"(2,7)",2,7,sub,6,-5.0,8.0,13.0,"(8,13)",-5.0,No-violated
17,"(3,4)",3,4,sub,6,-1.0,9.0,10.0,"(9,10)",-1.0,No-violated
18,"(6,2)",6,2,sub,6,4.0,12.0,8.0,"(12,8)",4.0,No-violated
19,"(5,6)",5,6,sub,6,-1.0,11.0,12.0,"(11,12)",-1.0,No-violated
20,"(3,4)",3,4,sub,6,-1.0,9.0,10.0,"(9,10)",-1.0,No-violated
21,"(3,8)",3,8,sub,6,-5.0,9.0,14.0,"(9,14)",-5.0,No-violated
22,"(0,1)",0,1,sub,6,-1.0,6.0,7.0,"(6,7)",-1.0,No-violated
23,"(1,7)",1,7,sub,6,-6.0,7.0,13.0,"(7,13)",-6.0,No-violated
24,"(5,0)",5,0,sub,6,5.0,11.0,6.0,"(11,6)",5.0,No-violated
25,"(6,0)",6,0,sub,6,6.0,12.0,6.0,"(12,6)",6.0,No-violated
26,"(7,6)",7,6,sub,6,1.0,13.0,12.0,"(13,12)",1.0,No-violated
27,"(7,0)",7,0,sub,6,7.0,13.0,6.0,"(13,6)",7.0,No-violated
28,"(4,4)",4,4,sub,6,0.0,10.0,10.0,"(10,10)",0.0,No-violated
29,"(2,5)",2,5,sub,6,-3.0,8.0,11.0,"(8,11)",-3.0,No-violated
30,"(4,5)",4,5,sub,6,-1.0,10.0,11.0,"(10,11)",-1.0,No-violated
31,"(2,7)",2,7,sub,6,-5.0,8.0,13.0,"(8,13)",-5.0,No-violated
32,"(6,3)",6,3,sub,6,3.0,12.0,9.0,"(12,9)",3.0,No-violated
33,"(7,9)",7,9,sub,6,-2.0,13.0,15.0,"(13,15)",-2.0,No-violated
34,"(6,2)",6,2,sub,6,4.0,12.0,8.0,"(12,8)",4.0,No-violated
35,"(1,2)",1,2,sub,6,-1.0,7.0,8.0,"(7,8)",-1.0,No-violated
36,"(6,9)",6,9,sub,6,-3.0,12.0,15.0,"(12,15)",-3.0,No-violated
37,"(2,4)",2,4,sub,6,-2.0,8.0,10.0,"(8,10)",-2.0,No-violated
38,"(7,8)",7,8,sub,6,-1.0,13.0,14.0,"(13,14)",-1.0,No-violated
39,"(1,6)",1,6,sub,6,-5.0,7.0,12.0,"(7,12)",-5.0,No-violated
40,"(1,6)",1,6,sub,6,-5.0,7.0,12.0,"(7,12)",-5.0,No-violated
41,"(1,9)",1,9,sub,6,-8.0,7.0,15.0,"(7,15)",-8.0,No-violated
42,"(0,7)",0,7,sub,6,-7.0,6.0,13.0,"(6,13)",-7.0,No-violated
43,"(4,7)",4,7,sub,6,-3.0,10.0,13.0,"(10,13)",-3.0,No-violated
44,"(3,5)",3,5,sub,6,-2.0,9.0,11.0,"(9,11)",-2.0,No-violated
45,"(1,7)",1,7,sub,6,-6.0,7.0,13.0,"(7,13)",-6.0,No-violated
46,"(5,8)",5,8,sub,6,-3.0,11.0,14.0,"(11,14)",-3.0,No-violated
47,"(5,1)",5,1,sub,6,4.0,11.0,7.0,"(11,7)",4.0,No-violated
48,"(8,8)",8,8,sub,6,0.0,14.0,14.0,"(14,14)",0.0,No-violated
49,"(6,6)",6,6,sub,6,0.0,12.0,12.0,"(12,12)",0.0,No-violated
50,"(5,2)",5,2,sub,6,3.0,11.0,8.0,"(11,8)",3.0,No-violated
51,"(3,5)",3,5,sub,6,-2.0,9.0,11.0,"(9,11)",-2.0,No-violated
