,"(a,b)",input_a,input_b,operand,const,output,MR3_input_a,MR3_input_b,MR3_inputs,MR3_output,MR3_checker
0,"(9,2)",9,2,sum,6,11.0,15.0,8.0,"(15,8)",23.0,Violated
1,"(8,1)",8,1,sum,6,9.0,14.0,7.0,"(14,7)",21.0,Violated
2,"(4,8)",4,8,sum,6,12.0,10.0,14.0,"(10,14)",24.0,Violated
3,"(7,2)",7,2,sum,6,9.0,13.0,8.0,"(13,8)",21.0,Violated
4,"(0,6)",0,6,sum,6,6.0,6.0,12.0,"(6,12)",18.0,Violated
5,"(2,5)",2,5,sum,6,7.0,8.0,11.0,"(8,11)",19.0,Violated
6,"(5,0)",5,0,sum,6,5.0,11.0,6.0,"(11,6)",17.0,Violated
7,"(4,9)",4,9,sum,6,13.0,10.0,15.0,"(10,15)",25.0,Violated
8,"(2,1)",2,1,sum,6,3.0,8.0,7.0,"(8,7)",15.0,Violated
9,"(7,6)",7,6,sum,6,13.0,13.0,12.0,"(13,12)",25.0,Violated
10,"(4,3)",4,3,sum,6,7.0,10.0,9.0,"(10,9)",19.0,Violated
11,"(9,8)",9,8,sum,6,17.0,15.0,14.0,"(15,14)",29.0,Violated
12,"(5,0)",5,0,sum,6,5.0,11.0,6.0,"(11,6)",17.0,Violated
13,"(8,5)",8,5,sum,6,13.0,14.0,11.0,"(14,11)",25.0,Violated
14,"(6,2)",6,2,sum,6,8.0,12.0,8.0,"(12,8)",20.0,Violated
15,"(1,2)",1,2,sum,6,3.0,7.0,8.0,"(7,8)",15.0,Violated
16,"(2,7)",2,7,sum,6,9.0,8.0,13.0,"(8,13)",21.0,Violated
17,"(3,4)",3,4,sum,6,7.0,9.0,10.0,"(9,10)",19.0,Violated
18,"(6,2)",6,2,sum,6,8.0,12.0,8.0,"(12,8)",20.0,Violated
19,"(5,6)",5,6,sum,6,11.0,11.0,12.0,"(11,12)",23.0,Violated
20,"(3,4)",3,4,sum,6,7.0,9.0,10.0,"(9,10)",19.0,Violated
21,"(3,8)",3,8,sum,6,11.0,9.0,14.0,"(9,14)",23.0,Violated
22,"(0,1)",0,1,sum,6,1.0,6.0,7.0,"(6,7)",13.0,Violated
23,"(1,7)",1,7,sum,6,8.0,7.0,13.0,"(7,13)",20.0,Violated
24,"(5,0)",5,0,sum,6,5.0,11.0,6.0,"(11,6)",17.0,Violated
25,"(6,0)",6,0,sum,6,6.0,12.0,6.0,"(12,6)",18.0,Violated
26,"(7,6)",7,6,sum,6,13.0,13.0,12.0,"(13,12)",25.0,Violated
27,"(7,0)",7,0,sum,6,7.0,13.0,6.0,"(13,6)",19.0,Violated
28,"(4,4)",4,4,sum,6,8.0,10.0,10.0,"(10,10)",20.0,Violated
29,"(2,5)",2,5,sum,6,7.0,8.0,11.0,"(8,11)",19.0,Violated
30,"(4,5)",4,5,sum,6,9.0,10.0,11.0,"(10,11)",21.0,Violated
31,"(2,7)",2,7,sum,6,9.0,8.0,13.0,"(8,13)",21.0,Violated
32,"(6,3)",6,3,sum,6,9.0,12.0,9.0,"(12,9)",21.0,Violated
33,"(7,9)",7,9,sum,6,16.0,13.0,15.0,"(13,15)",28.0,Violated
34,"(6,2)",6,2,sum,6,8.0,12.0,8.0,"(12,8)",20.0,Violated
35,"(1,2)",1,2,sum,6,3.0,7.0,8.0,"(7,8)",15.0,Violated
36,"(6,9)",6,9,sum,6,15.0,12.0,15.0,"(12,15)",27.0,Violated
37,"(2,4)",2,4,sum,6,6.0,8.0,10.0,"(8,10)",18.0,Violated
38,"(7,8)",7,8,sum,6,15.0,13.0,14.0,"(13,14)",27.0,Violated
39,"(1,6)",1,6,sum,6,7.0,7.0,12.0,"(7,12)",19.0,Violated
40,"(1,6)",1,6,sum,6,7.0,7.0,12.0,"(7,12)",19.0,Violated
41,"(1,9)",1,9,sum,6,10.0,7.0,15.0,"(7,15)",22.0,Violated
42,"(0,7)",0,7,sum,6,7.0,6.0,13.0,"(6,13)",19.0,Violated
43,"(4,7)",4,7,sum,6,11.0,10.0,13.0,"(10,13)",23.0,Violated
44,"(3,5)",3,5,sum,6,8.0,9.0,11.0,"(9,11)",20.0,Violated
45,"(1,7)",1,7,sum,6,8.0,7.0,13.0,"(7,13)",20.0,Violated
46,"(5,8)",5,8,sum,6,13.0,11.0,14.0,"(11,14)",25.0,Violated
47,"(5,1)",5,1,sum,6,6.0,11.0,7.0,"(11,7)",18.0,Violated
48,"(8,8)",8,8,sum,6,16.0,14.0,14.0,"(14,14)",28.0,Violated
49,"(6,6)",6,6,sum,6,12.0,12.0,12.0,"(12,12)",24.0,Violated
50,"(5,2)",5,2,sum,6,7.0,11.0,8.0,"(11,8)",19.0,Violated
51,"(3,5)",3,5,sum,6,8.0,9.0,11.0,"(9,11)",20.0,Violated
52,"(9,9)",9,9,sum,6,18.0,15.0,15.0,"(15,15)",30.0,Violated
53,"(2,4)",2,4,sum,6,6.0,8.0,10.0,"(8,10)",18.0,Violated
54,"(9,7)",9,7,sum,6,16.0,15.0,13.0,"(15,13)",28.0,Violated
55,"(0,2)",0,2,sum,6,2.0,6.0,8.0,"(6,8)",14.0,Violated
56,"(0,2)",0,2,sum,6,2.0,6.0,8.0,"(6,8)",14.0,Violated
57,"(0,1)",0,1,sum,6,1.0,6.0,7.0,"(6,7)",13.0,Violated
58,"(6,1)",6,1,sum,6,7.0,12.0,7.0,"(12,7)",19.0,Violated
59,"(9,3)",9,3,sum,6,12.0,15.0,9.0,"(15,9)",24.0,Violated
60,"(4,2)",4,2,sum,6,6.0,10.0,8.0,"(10,8)",18.0,Violated
61,"(0,3)",0,3,sum,6,3.0,6.0,9.0,"(6,9)",15.0,Violated
