,"(a,b)",input_a,input_b,operand,const,output,MR1_input_a,MR1_input_b,MR1_inputs,MR1_output,MR1_checker
0,"(9,2)",9,2,sub,6,7.0,2.0,9.0,"(2,9)",-7.0,Violated
1,"(9,2)",9,2,sum,6,11.0,2.0,9.0,"(2,9)",11.0,No-violated
2,"(8,1)",8,1,sub,6,7.0,1.0,8.0,"(1,8)",-7.0,Violated
3,"(8,1)",8,1,sum,6,9.0,1.0,8.0,"(1,8)",9.0,No-violated
4,"(4,8)",4,8,sub,6,-4.0,8.0,4.0,"(8,4)",4.0,Violated
5,"(4,8)",4,8,sum,6,12.0,8.0,4.0,"(8,4)",12.0,No-violated
6,"(7,2)",7,2,sub,6,5.0,2.0,7.0,"(2,7)",-5.0,Violated
7,"(7,2)",7,2,sum,6,9.0,2.0,7.0,"(2,7)",9.0,No-violated
8,"(0,6)",0,6,sub,6,-6.0,6.0,0.0,"(6,0)",6.0,Violated
9,"(0,6)",0,6,sum,6,6.0,6.0,0.0,"(6,0)",6.0,No-violated
10,"(2,5)",2,5,sub,6,-3.0,5.0,2.0,"(5,2)",3.0,Violated
11,"(2,5)",2,5,sum,6,7.0,5.0,2.0,"(5,2)",7.0,No-violated
12,"(5,0)",5,0,sub,6,5.0,0.0,5.0,"(0,5)",-5.0,Violated
13,"(5,0)",5,0,sum,6,5.0,0.0,5.0,"(0,5)",5.0,No-violated
14,"(4,9)",4,9,sub,6,-5.0,9.0,4.0,"(9,4)",5.0,Violated
15,"(4,9)",4,9,sum,6,13.0,9.0,4.0,"(9,4)",13.0,No-violated
16,"(2,1)",2,1,sub,6,1.0,1.0,2.0,"(1,2)",-1.0,Violated
17,"(2,1)",2,1,sum,6,3.0,1.0,2.0,"(1,2)",3.0,No-violated
18,"(7,6)",7,6,sub,6,1.0,6.0,7.0,"(6,7)",-1.0,Violated
19,"(7,6)",7,6,sum,6,13.0,6.0,7.0,"(6,7)",13.0,No-violated
20,"(4,3)",4,3,sub,6,1.0,3.0,4.0,"(3,4)",-1.0,Violated
21,"(4,3)",4,3,sum,6,7.0,3.0,4.0,"(3,4)",7.0,No-violated
22,"(9,8)",9,8,sub,6,1.0,8.0,9.0,"(8,9)",-1.0,Violated
23,"(9,8)",9,8,sum,6,17.0,8.0,9.0,"(8,9)",17.0,No-violated
24,"(5,0)",5,0,sub,6,5.0,0.0,5.0,"(0,5)",-5.0,Violated
25,"(5,0)",5,0,sum,6,5.0,0.0,5.0,"(0,5)",5.0,No-violated
26,"(8,5)",8,5,sub,6,3.0,5.0,8.0,"(5,8)",-3.0,Violated
27,"(8,5)",8,5,sum,6,13.0,5.0,8.0,"(5,8)",13.0,No-violated
28,"(6,2)",6,2,sub,6,4.0,2.0,6.0,"(2,6)",-4.0,Violated
29,"(6,2)",6,2,sum,6,8.0,2.0,6.0,"(2,6)",8.0,No-violated
30,"(1,2)",1,2,sub,6,-1.0,2.0,1.0,"(2,1)",1.0,Violated
31,"(1,2)",1,2,sum,6,3.0,2.0,1.0,"(2,1)",3.0,No-violated
32,"(2,7)",2,7,sub,6,-5.0,7.0,2.0,"(7,2)",5.0,Violated
33,"(2,7)",2,7,sum,6,9.0,7.0,2.0,"(7,2)",9.0,No-violated
34,"(3,4)",3,4,sub,6,-1.0,4.0,3.0,"(4,3)",1.0,Violated
35,"(3,4)",3,4,sum,6,7.0,4.0,3.0,"(4,3)",7.0,No-violated
36,"(6,2)",6,2,sub,6,4.0,2.0,6.0,"(2,6)",-4.0,Violated
37,"(6,2)",6,2,sum,6,8.0,2.0,6.0,"(2,6)",8.0,No-violated
38,"(5,6)",5,6,sub,6,-1.0,6.0,5.0,"(6,5)",1.0,Violated
39,"(5,6)",5,6,sum,6,11.0,6.0,5.0,"(6,5)",11.0,No-violated
40,"(3,4)",3,4,sub,6,-1.0,4.0,3.0,"(4,3)",1.0,Violated
41,"(3,4)",3,4,sum,6,7.0,4.0,3.0,"(4,3)",7.0,No-violated
42,"(3,8)",3,8,sub,6,-5.0,8.0,3.0,"(8,3)",5.0,Violated
43,"(3,8)",3,8,sum,6,11.0,8.0,3.0,"(8,3)",11.0,No-violated
44,"(0,1)",0,1,sub,6,-1.0,1.0,0.0,"(1,0)",1.0,Violated
45,"(0,1)",0,1,sum,6,1.0,1.0,0.0,"(1,0)",1.0,No-violated
46,"(1,7)",1,7,sub,6,-6.0,7.0,1.0,"(7,1)",6.0,Violated
47,"(1,7)",1,7,sum,6,8.0,7.0,1.0,"(7,1)",8.0,No-violated
48,"(5,0)",5,0,sub,6,5.0,0.0,5.0,"(0,5)",-5.0,Violated
49,"(5,0)",5,0,sum,6,5.0,0.0,5.0,"(0,5)",5.0,No-violated
50,"(6,0)",6,0,sub,6,6.0,0.0,6.0,"(0,6)",-6.0,Violated
51,"(6,0)",6,0,sum,6,6.0,0.0,6.0,"(0,6)",6.0,No-violated
52,"(7,6)",7,6,sub,6,1.0,6.0,7.0,"(6,7)",-1.0,Violated
53,"(7,6)",7,6,sum,6,13.0,6.0,7.0,"(6,7)",13.0,No-violated
54,"(7,0)",7,0,sub,6,7.0,0.0,7.0,"(0,7)",-7.0,Violated
55,"(7,0)",7,0,sum,6,7.0,0.0,7.0,"(0,7)",7.0,No-violated
56,"(4,4)",4,4,sub,6,0.0,4.0,4.0,"(4,4)",0.0,No-violated
57,"(4,4)",4,4,sum,6,8.0,4.0,4.0,"(4,4)",8.0,No-violated
58,"(2,5)",2,5,sub,6,-3.0,5.0,2.0,"(5,2)",3.0,Violated
59,"(2,5)",2,5,sum,6,7.0,5.0,2.0,"(5,2)",7.0,No-violated
60,"(4,5)",4,5,sub,6,-1.0,5.0,4.0,"(5,4)",1.0,Violated
61,"(4,5)",4,5,sum,6,9.0,5.0,4.0,"(5,4)",9.0,No-violated
62,"(2,7)",2,7,sub,6,-5.0,7.0,2.0,"(7,2)",5.0,Violated
63,"(2,7)",2,7,sum,6,9.0,7.0,2.0,"(7,2)",9.0,No-violated
64,"(6,3)",6,3,sub,6,3.0,3.0,6.0,"(3,6)",-3.0,Violated
65,"(6,3)",6,3,sum,6,9.0,3.0,6.0,"(3,6)",9.0,No-violated
66,"(7,9)",7,9,sub,6,-2.0,9.0,7.0,"(9,7)",2.0,Violated
67,"(7,9)",7,9,sum,6,16.0,9.0,7.0,"(9,7)",16.0,No-violated
68,"(6,2)",6,2,sub,6,4.0,2.0,6.0,"(2,6)",-4.0,Violated
69,"(6,2)",6,2,sum,6,8.0,2.0,6.0,"(2,6)",8.0,No-violated
70,"(1,2)",1,2,sub,6,-1.0,2.0,1.0,"(2,1)",1.0,Violated
71,"(1,2)",1,2,sum,6,3.0,2.0,1.0,"(2,1)",3.0,No-violated
72,"(6,9)",6,9,sub,6,-3.0,9.0,6.0,"(9,6)",3.0,Violated
73,"(6,9)",6,9,sum,6,15.0,9.0,6.0,"(9,6)",15.0,No-violated
74,"(2,4)",2,4,sub,6,-2.0,4.0,2.0,"(4,2)",2.0,Violated
75,"(2,4)",2,4,sum,6,6.0,4.0,2.0,"(4,2)",6.0,No-violated
76,"(7,8)",7,8,sub,6,-1.0,8.0,7.0,"(8,7)",1.0,Violated
77,"(7,8)",7,8,sum,6,15.0,8.0,7.0,"(8,7)",15.0,No-violated
78,"(1,6)",1,6,sub,6,-5.0,6.0,1.0,"(6,1)",5.0,Violated
79,"(1,6)",1,6,sum,6,7.0,6.0,1.0,"(6,1)",7.0,No-violated
80,"(1,6)",1,6,sub,6,-5.0,6.0,1.0,"(6,1)",5.0,Violated
81,"(1,6)",1,6,sum,6,7.0,6.0,1.0,"(6,1)",7.0,No-violated
82,"(1,9)",1,9,sub,6,-8.0,9.0,1.0,"(9,1)",8.0,Violated
83,"(1,9)",1,9,sum,6,10.0,9.0,1.0,"(9,1)",10.0,No-violated
84,"(0,7)",0,7,sub,6,-7.0,7.0,0.0,"(7,0)",7.0,Violated
85,"(0,7)",0,7,sum,6,7.0,7.0,0.0,"(7,0)",7.0,No-violated
86,"(4,7)",4,7,sub,6,-3.0,7.0,4.0,"(7,4)",3.0,Violated
87,"(4,7)",4,7,sum,6,11.0,7.0,4.0,"(7,4)",11.0,No-violated
88,"(3,5)",3,5,sub,6,-2.0,5.0,3.0,"(5,3)",2.0,Violated
89,"(3,5)",3,5,sum,6,8.0,5.0,3.0,"(5,3)",8.0,No-violated
90,"(1,7)",1,7,sub,6,-6.0,7.0,1.0,"(7,1)",6.0,Violated
91,"(1,7)",1,7,sum,6,8.0,7.0,1.0,"(7,1)",8.0,No-violated
92,"(5,8)",5,8,sub,6,-3.0,8.0,5.0,"(8,5)",3.0,Violated
93,"(5,8)",5,8,sum,6,13.0,8.0,5.0,"(8,5)",13.0,No-violated
94,"(5,1)",5,1,sub,6,4.0,1.0,5.0,"(1,5)",-4.0,Violated
95,"(5,1)",5,1,sum,6,6.0,1.0,5.0,"(1,5)",6.0,No-violated
96,"(8,8)",8,8,sub,6,0.0,8.0,8.0,"(8,8)",0.0,No-violated
97,"(8,8)",8,8,sum,6,16.0,8.0,8.0,"(8,8)",16.0,No-violated
98,"(6,6)",6,6,sub,6,0.0,6.0,6.0,"(6,6)",0.0,No-violated
99,"(6,6)",6,6,sum,6,12.0,6.0,6.0,"(6,6)",12.0,No-violated
100,"(5,2)",5,2,sub,6,3.0,2.0,5.0,"(2,5)",-3.0,Violated
101,"(5,2)",5,2,sum,6,7.0,2.0,5.0,"(2,5)",7.0,No-violated
102,"(3,5)",3,5,sub,6,-2.0,5.0,3.0,"(5,3)",2.0,Violated
103,"(3,5)",3,5,sum,6,8.0,5.0,3.0,"(5,3)",8.0,No-violated
104,"(9,9)",9,9,sub,6,0.0,9.0,9.0,"(9,9)",0.0,No-violated
105,"(9,9)",9,9,sum,6,18.0,9.0,9.0,"(9,9)",18.0,No-violated
106,"(2,4)",2,4,sub,6,-2.0,4.0,2.0,"(4,2)",2.0,Violated
107,"(2,4)",2,4,sum,6,6.0,4.0,2.0,"(4,2)",6.0,No-violated
108,"(9,7)",9,7,sub,6,2.0,7.0,9.0,"(7,9)",-2.0,Violated
109,"(9,7)",9,7,sum,6,16.0,7.0,9.0,"(7,9)",16.0,No-violated
