,"(a,b)",input_a,input_b,operand,const,output,MR2_input_a,MR2_input_b,MR2_inputs,MR2_output,MR2_checker
0,"(9,2)",9,2,sub,6,7.0,54.0,12.0,"(54,12)",42.0,No-violated
1,"(9,2)",9,2,sum,6,11.0,54.0,12.0,"(54,12)",66.0,No-violated
2,"(8,1)",8,1,sub,6,7.0,48.0,6.0,"(48,6)",42.0,No-violated
3,"(8,1)",8,1,sum,6,9.0,48.0,6.0,"(48,6)",54.0,No-violated
4,"(4,8)",4,8,sub,6,-4.0,24.0,48.0,"(24,48)",-24.0,Violated
5,"(4,8)",4,8,sum,6,12.0,24.0,48.0,"(24,48)",72.0,No-violated
6,"(7,2)",7,2,sub,6,5.0,42.0,12.0,"(42,12)",30.0,No-violated
7,"(7,2)",7,2,sum,6,9.0,42.0,12.0,"(42,12)",54.0,No-violated
8,"(0,6)",0,6,sub,6,-6.0,0.0,36.0,"(0,36)",-36.0,Violated
9,"(0,6)",0,6,sum,6,6.0,0.0,36.0,"(0,36)",36.0,No-violated
10,"(2,5)",2,5,sub,6,-3.0,12.0,30.0,"(12,30)",-18.0,Violated
11,"(2,5)",2,5,sum,6,7.0,12.0,30.0,"(12,30)",42.0,No-violated
12,"(5,0)",5,0,sub,6,5.0,30.0,0.0,"(30,0)",30.0,No-violated
13,"(5,0)",5,0,sum,6,5.0,30.0,0.0,"(30,0)",30.0,No-violated
14,"(4,9)",4,9,sub,6,-5.0,24.0,54.0,"(24,54)",-30.0,Violated
15,"(4,9)",4,9,sum,6,13.0,24.0,54.0,"(24,54)",78.0,No-violated
16,"(2,1)",2,1,sub,6,1.0,12.0,6.0,"(12,6)",6.0,No-violated
17,"(2,1)",2,1,sum,6,3.0,12.0,6.0,"(12,6)",18.0,No-violated
18,"(7,6)",7,6,sub,6,1.0,42.0,36.0,"(42,36)",6.0,No-violated
19,"(7,6)",7,6,sum,6,13.0,42.0,36.0,"(42,36)",78.0,No-violated
20,"(4,3)",4,3,sub,6,1.0,24.0,18.0,"(24,18)",6.0,No-violated
21,"(4,3)",4,3,sum,6,7.0,24.0,18.0,"(24,18)",42.0,No-violated
22,"(9,8)",9,8,sub,6,1.0,54.0,48.0,"(54,48)",6.0,No-violated
23,"(9,8)",9,8,sum,6,17.0,54.0,48.0,"(54,48)",102.0,No-violated
24,"(5,0)",5,0,sub,6,5.0,30.0,0.0,"(30,0)",30.0,No-violated
25,"(5,0)",5,0,sum,6,5.0,30.0,0.0,"(30,0)",30.0,No-violated
26,"(8,5)",8,5,sub,6,3.0,48.0,30.0,"(48,30)",18.0,No-violated
27,"(8,5)",8,5,sum,6,13.0,48.0,30.0,"(48,30)",78.0,No-violated
28,"(6,2)",6,2,sub,6,4.0,36.0,12.0,"(36,12)",24.0,No-violated
29,"(6,2)",6,2,sum,6,8.0,36.0,12.0,"(36,12)",48.0,No-violated
30,"(1,2)",1,2,sub,6,-1.0,6.0,12.0,"(6,12)",-6.0,Violated
31,"(1,2)",1,2,sum,6,3.0,6.0,12.0,"(6,12)",18.0,No-violated
32,"(2,7)",2,7,sub,6,-5.0,12.0,42.0,"(12,42)",-30.0,Violated
33,"(2,7)",2,7,sum,6,9.0,12.0,42.0,"(12,42)",54.0,No-violated
34,"(3,4)",3,4,sub,6,-1.0,18.0,24.0,"(18,24)",-6.0,Violated
35,"(3,4)",3,4,sum,6,7.0,18.0,24.0,"(18,24)",42.0,No-violated
36,"(6,2)",6,2,sub,6,4.0,36.0,12.0,"(36,12)",24.0,No-violated
37,"(6,2)",6,2,sum,6,8.0,36.0,12.0,"(36,12)",48.0,No-violated
38,"(5,6)",5,6,sub,6,-1.0,30.0,36.0,"(30,36)",-6.0,Violated
39,"(5,6)",5,6,sum,6,11.0,30.0,36.0,"(30,36)",66.0,No-violated
40,"(3,4)",3,4,sub,6,-1.0,18.0,24.0,"(18,24)",-6.0,Violated
41,"(3,4)",3,4,sum,6,7.0,18.0,24.0,"(18,24)",42.0,No-violated
42,"(3,8)",3,8,sub,6,-5.0,18.0,48.0,"(18,48)",-30.0,Violated
43,"(3,8)",3,8,sum,6,11.0,18.0,48.0,"(18,48)",66.0,No-violated
44,"(0,1)",0,1,sub,6,-1.0,0.0,6.0,"(0,6)",-6.0,Violated
45,"(0,1)",0,1,sum,6,1.0,0.0,6.0,"(0,6)",6.0,No-violated
46,"(1,7)",1,7,sub,6,-6.0,6.0,42.0,"(6,42)",-36.0,Violated
47,"(1,7)",1,7,sum,6,8.0,6.0,42.0,"(6,42)",48.0,No-violated
48,"(5,0)",5,0,sub,6,5.0,30.0,0.0,"(30,0)",30.0,No-violated
49,"(5,0)",5,0,sum,6,5.0,30.0,0.0,"(30,0)",30.0,No-violated
50,"(6,0)",6,0,sub,6,6.0,36.0,0.0,"(36,0)",36.0,No-violated
51,"(6,0)",6,0,sum,6,6.0,36.0,0.0,"(36,0)",36.0,No-violated
52,"(7,6)",7,6,sub,6,1.0,42.0,36.0,"(42,36)",6.0,No-violated
53,"(7,6)",7,6,sum,6,13.0,42.0,36.0,"(42,36)",78.0,No-violated
54,"(7,0)",7,0,sub,6,7.0,42.0,0.0,"(42,0)",42.0,No-violated
55,"(7,0)",7,0,sum,6,7.0,42.0,0.0,"(42,0)",42.0,No-violated
56,"(4,4)",4,4,sub,6,0.0,24.0,24.0,"(24,24)",0.0,Violated
