,"(a,b)",input_a,input_b,operand,const,output,MR3_input_a,MR3_input_b,MR3_inputs,MR3_output,MR3_checker
0,"(9,2)",9,2,sub,6,7.0,15.0,8.0,"(15,8)",7.0,No-violated
1,"(9,2)",9,2,sum,6,11.0,15.0,8.0,"(15,8)",23.0,Violated
2,"(8,1)",8,1,sub,6,7.0,14.0,7.0,"(14,7)",7.0,No-violated
3,"(8,1)",8,1,sum,6,9.0,14.0,7.0,"(14,7)",21.0,Violated
4,"(4,8)",4,8,sub,6,-4.0,10.0,14.0,"(10,14)",-4.0,No-violated
5,"(4,8)",4,8,sum,6,12.0,10.0,14.0,"(10,14)",24.0,Violated
6,"(7,2)",7,2,sub,6,5.0,13.0,8.0,"(13,8)",5.0,No-violated
7,"(7,2)",7,2,sum,6,9.0,13.0,8.0,"(13,8)",21.0,Violated
8,"(0,6)",0,6,sub,6,-6.0,6.0,12.0,"(6,12)",-6.0,No-violated
9,"(0,6)",0,6,sum,6,6.0,6.0,12.0,"(6,12)",18.0,Violated
10,"(2,5)",2,5,sub,6,-3.0,8.0,11.0,"(8,11)",-3.0,No-violated
11,"(2,5)",2,5,sum,6,7.0,8.0,11.0,"(8,11)",19.0,Violated
12,"(5,0)",5,0,sub,6,5.0,11.0,6.0,"(11,6)",5.0,No-violated
13,"(5,0)",5,0,sum,6,5.0,11.0,6.0,"(11,6)",17.0,Violated
14,"(4,9)",4,9,sub,6,-5.0,10.0,15.0,"(10,15)",-5.0,No-violated
15,"(4,9)",4,9,sum,6,13.0,10.0,15.0,"(10,15)",25.0,Violated
16,"(2,1)",2,1,sub,6,1.0,8.0,7.0,"(8,7)",1.0,No-violated
17,"(2,1)",2,1,sum,6,3.0,8.0,7.0,"(8,7)",15.0,Violated
18,"(7,6)",7,6,sub,6,1.0,13.0,12.0,"(13,12)",1.0,No-violated
19,"(7,6)",7,6,sum,6,13.0,13.0,12.0,"(13,12)",25.0,Violated
20,"(4,3)",4,3,sub,6,1.0,10.0,9.0,"(10,9)",1.0,No-violated
21,"(4,3)",4,3,sum,6,7.0,10.0,9.0,"(10,9)",19.0,Violated
22,"(9,8)",9,8,sub,6,1.0,15.0,14.0,"(15,14)",1.0,No-violated
23,"(9,8)",9,8,sum,6,17.0,15.0,14.0,"(15,14)",29.0,Violated
24,"(5,0)",5,0,sub,6,5.0,11.0,6.0,"(11,6)",5.0,No-violated
25,"(5,0)",5,0,sum,6,5.0,11.0,6.0,"(11,6)",17.0,Violated
26,"(8,5)",8,5,sub,6,3.0,14.0,11.0,"(14,11)",3.0,No-violated
27,"(8,5)",8,5,sum,6,13.0,14.0,11.0,"(14,11)",25.0,Violated
28,"(6,2)",6,2,sub,6,4.0,12.0,8.0,"(12,8)",4.0,No-violated
29,"(6,2)",6,2,sum,6,8.0,12.0,8.0,"(12,8)",20.0,Violated
30,"(1,2)",1,2,sub,6,-1.0,7.0,8.0,"(7,8)",-1.0,No-violated
31,"(1,2)",1,2,sum,6,3.0,7.0,8.0,"(7,8)",15.0,Violated
32,"(2,7)",2,7,sub,6,-5.0,8.0,13.0,"(8,13)",-5.0,No-violated
33,"(2,7)",2,7,sum,6,9.0,8.0,13.0,"(8,13)",21.0,Violated
34,"(3,4)",3,4,sub,6,-1.0,9.0,10.0,"(9,10)",-1.0,No-violated
35,"(3,4)",3,4,sum,6,7.0,9.0,10.0,"(9,10)",19.0,Violated
36,"(6,2)",6,2,sub,6,4.0,12.0,8.0,"(12,8)",4.0,No-violated
37,"(6,2)",6,2,sum,6,8.0,12.0,8.0,"(12,8)",20.0,Violated
38,"(5,6)",5,6,sub,6,-1.0,11.0,12.0,"(11,12)",-1.0,No-violated
39,"(5,6)",5,6,sum,6,11.0,11.0,12.0,"(11,12)",23.0,Violated
40,"(3,4)",3,4,sub,6,-1.0,9.0,10.0,"(9,10)",-1.0,No-violated
41,"(3,4)",3,4,sum,6,7.0,9.0,10.0,"(9,10)",19.0,Violated
42,"(3,8)",3,8,sub,6,-5.0,9.0,14.0,"(9,14)",-5.0,No-violated
43,"(3,8)",3,8,sum,6,11.0,9.0,14.0,"(9,14)",23.0,Violated
44,"(0,1)",0,1,sub,6,-1.0,6.0,7.0,"(6,7)",-1.0,No-violated
45,"(0,1)",0,1,sum,6,1.0,6.0,7.0,"(6,7)",13.0,Violated
46,"(1,7)",1,7,sub,6,-6.0,7.0,13.0,"(7,13)",-6.0,No-violated
47,"(1,7)",1,7,sum,6,8.0,7.0,13.0,"(7,13)",20.0,Violated
48,"(5,0)",5,0,sub,6,5.0,11.0,6.0,"(11,6)",5.0,No-violated
49,"(5,0)",5,0,sum,6,5.0,11.0,6.0,"(11,6)",17.0,Violated
50,"(6,0)",6,0,sub,6,6.0,12.0,6.0,"(12,6)",6.0,No-violated
